company_id,type,rule_id,text,confidence_pct
TRENT,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
JINDALSTEL,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
JIOFIN,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
JIOFIN,Pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100.0
JIOFIN,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
JIOFIN,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HINDALCO,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HINDALCO,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HINDALCO,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HINDALCO,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
PIDILITIND,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,61.6
PIDILITIND,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
PIDILITIND,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
PIDILITIND,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
JSWENERGY,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
TORNTPHARM,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,68.3
TORNTPHARM,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TORNTPHARM,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,72.0
TORNTPHARM,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ADANIENT,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
RELIANCE,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
RELIANCE,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TECHM,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TECHM,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
DMART,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
DMART,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
LTIM,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,65.8
LTIM,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
LTIM,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
LTIM,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
DLF,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
DLF,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,76.0
DLF,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BRITANNIA,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
BRITANNIA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BRITANNIA,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
NHPC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
NHPC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
NHPC,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
NHPC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BAJAJ-AUTO,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,73.2
BAJAJ-AUTO,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BAJAJ-AUTO,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BAJAJ-AUTO,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
DIVISLAB,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
DIVISLAB,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,66.0
DIVISLAB,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
DIVISLAB,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TATAPOWER,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TATAPOWER,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
PNB,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
NTPC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
NTPC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,68.0
NTPC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
DABUR,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
DABUR,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
DABUR,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TATACONSUM,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TATACONSUM,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
TATACONSUM,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ONGC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ONGC,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ONGC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
COALINDIA,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
COALINDIA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
COALINDIA,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
COALINDIA,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
COALINDIA,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
AXISBANK,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
CANBK,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
CANBK,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TATAMOTORS,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,94.9
TATAMOTORS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TATAMOTORS,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
PFC,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,72.3
PFC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,84.0
CIPLA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
CIPLA,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
CIPLA,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
CIPLA,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BAJAJFINSV,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,71.7
BAJAJFINSV,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,84.0
INFY,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,79.6
INFY,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
INFY,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
POWERGRID,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
POWERGRID,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
POWERGRID,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
DRREDDY,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
DRREDDY,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,66.0
DRREDDY,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
DRREDDY,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
NESTLEIND,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
NESTLEIND,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
NESTLEIND,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
NESTLEIND,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TATASTEEL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HAL,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
HAL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HAL,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,74.0
HAL,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HAL,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BOSCHLTD,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,61.3
BOSCHLTD,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BOSCHLTD,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BOSCHLTD,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
M&M,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
ADANIPOWER,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
ADANIPOWER,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ADANIPOWER,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,82.0
AMBUJACEM,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
GRASIM,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
SUNPHARMA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
SUNPHARMA,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,66.0
SUNPHARMA,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
SUNPHARMA,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
GODREJCP,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
RECLTD,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,60.8
RECLTD,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
MARUTI,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
MARUTI,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
MARUTI,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TCS,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
TCS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TCS,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,64.0
TCS,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
TCS,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
GAIL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
GAIL,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
GAIL,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BPCL,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,91.0
BPCL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BPCL,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BPCL,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
INDIGO,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
INDIGO,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
INDIGO,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
INDIGO,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BAJAJHLDNG,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BAJAJHLDNG,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BAJAJHLDNG,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BAJAJHLDNG,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ASIANPAINT,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,79.4
ASIANPAINT,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ASIANPAINT,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ASIANPAINT,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
MOTHERSON,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
MOTHERSON,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
EICHERMOT,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,64.3
EICHERMOT,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
EICHERMOT,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,62.0
EICHERMOT,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
EICHERMOT,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
NAUKRI,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,66.0
NAUKRI,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
BANKBARODA,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
APOLLOHOSP,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
APOLLOHOSP,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
SIEMENS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
SIEMENS,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
SIEMENS,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
LODHA,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
LODHA,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
LODHA,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
LODHA,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
LODHA,Con,C11,Overall financial quality score is relatively weak.,85.0
LODHA,Con,C12,Return on equity below 10% indicates limited shareholder returns.,62.2
HAVELLS,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
HAVELLS,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
HAVELLS,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
HAVELLS,Con,C11,Overall financial quality score is relatively weak.,85.0
BEL,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
BEL,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
BEL,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
BEL,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
BEL,Con,C11,Overall financial quality score is relatively weak.,85.0
KOTAKBANK,Con,C1,Debt-to-equity ratio of 4.00 is elevated and warrants monitoring.,64.0
KOTAKBANK,Con,C3,Operating margin below 10% indicates weak operating profitability.,100.0
KOTAKBANK,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
KOTAKBANK,Con,C6,Interest coverage below 1.5x indicates elevated debt servicing risk.,95.0
KOTAKBANK,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
KOTAKBANK,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
KOTAKBANK,Con,C11,Overall financial quality score is relatively weak.,85.0
LT,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
LT,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
LT,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
LT,Con,C11,Overall financial quality score is relatively weak.,85.0
ADANIGREEN,Con,C1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,69.2
ADANIGREEN,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
ADANIGREEN,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
ADANIGREEN,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
ADANIGREEN,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
ADANIGREEN,Con,C11,Overall financial quality score is relatively weak.,85.0
SBILIFE,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
SBILIFE,Con,C3,Operating margin below 10% indicates weak operating profitability.,80.0
SBILIFE,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
SBILIFE,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
SBILIFE,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
SBILIFE,Con,C11,Overall financial quality score is relatively weak.,85.0
LICI,Con,C3,Operating margin below 10% indicates weak operating profitability.,72.0
LICI,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
LICI,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
LICI,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
LICI,Con,C11,Overall financial quality score is relatively weak.,85.0
ADANIPORTS,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
ADANIPORTS,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
ADANIPORTS,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
ADANIPORTS,Con,C11,Overall financial quality score is relatively weak.,85.0
HDFCBANK,Con,C1,Debt-to-equity ratio of 6.81 is elevated and warrants monitoring.,69.6
HDFCBANK,Con,C3,Operating margin below 10% indicates weak operating profitability.,100.0
HDFCBANK,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
HDFCBANK,Con,C6,Interest coverage below 1.5x indicates elevated debt servicing risk.,95.0
HDFCBANK,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
HDFCBANK,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
HDFCBANK,Con,C11,Overall financial quality score is relatively weak.,85.0
BHEL,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
BHEL,Con,C3,Operating margin below 10% indicates weak operating profitability.,74.0
BHEL,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
BHEL,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
BHEL,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
BHEL,Con,C11,Overall financial quality score is relatively weak.,85.0
BHEL,Con,C12,Return on equity below 10% indicates limited shareholder returns.,77.7
HDFCLIFE,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
HDFCLIFE,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
HDFCLIFE,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
HDFCLIFE,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
HDFCLIFE,Con,C11,Overall financial quality score is relatively weak.,85.0
TITAN,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
TITAN,Con,C8,Debt levels should be monitored despite remaining manageable.,70.0
TITAN,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
TITAN,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
TITAN,Con,C11,Overall financial quality score is relatively weak.,85.0
BAJFINANCE,Con,C1,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,63.6
BAJFINANCE,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
BAJFINANCE,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
BAJFINANCE,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
BAJFINANCE,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
BAJFINANCE,Con,C11,Overall financial quality score is relatively weak.,85.0
HCLTECH,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
HCLTECH,Con,C9,Weak EPS growth indicates slowing earnings momentum.,80.0
HCLTECH,Con,C10,Return on capital employed below 10% suggests inefficient capital allocation.,90.0
HCLTECH,Con,C11,Overall financial quality score is relatively weak.,85.0
JSWSTEEL,Con,C2,Negative free cash flow raises concern about cash generation quality.,90.0
JSWSTEEL,Con,C5,Revenue growth below 5% over five years suggests weak business momentum.,85.0
